Time_s,Voltage,Acc0,Acc1
0,-0.015097413,0.00124246,0.001134935
0.000586166,-0.012987195,0.0012837,0.001129784
0.001172333,-0.010916832,0.001309097,0.001124703
0.001758499,-0.00889205,0.001311012,0.001120899
0.002344666,-0.006914712,0.001287291,0.00111965
0.002930832,-0.004983422,0.001241899,0.001122244
0.003516999,-0.003094231,0.001184358,0.001129958
0.004103165,-0.001241405,0.001128044,0.001143998
0.004689332,0.000581778,0.001087655,0.001165393
0.005275498,0.002382223,0.001076316,0.001194824
0.005861665,0.004166259,0.001102909,0.001232453
0.006447831,0.005938992,0.001170134,0.001277787
0.007033998,0.007703867,0.001273732,0.001329657
0.007620164,0.009462492,0.001403038,0.001386313
0.008206331,0.011214732,0.001542765,0.001445646
0.008792497,0.012959008,0.001675719,0.001505477
0.009378664,0.014692729,0.001785904,0.001563848
0.00996483,0.016412717,0.001861449,0.001619265
0.010550996,0.018115585,0.001896782,0.001670843
0.011137163,0.019797996,0.00189363,0.001718365
0.011723329,0.021456822,0.001860652,0.001762216
0.012309496,0.02308925,0.001811755,0.001803213
0.012895662,0.024692875,0.001763402,0.001842297
0.013481829,0.02626586,0.001731418,0.001880172
0.014067995,0.027807135,0.001727918,0.001916957
0.014654162,0.029316589,0.001758917,0.001951969
0.015240328,0.030795137,0.001823124,0.001983698
0.015826495,0.032244589,0.001912119,0.002009983
0.016412661,0.033667304,0.002011897,0.002028345
0.016998828,0.035065685,0.002105464,0.0020364
0.017584994,0.036441651,0.00217602,0.002032295
0.018171161,0.03779622,0.002210096,0.002015104
0.018757327,0.039129355,0.002200091,0.001985142
0.019343494,0.040440122,0.002145722,0.001944124
0.01992966,0.041727102,0.002054129,0.001895085
0.020515826,0.042988889,0.001938619,0.001842044
0.021101993,0.044224514,0.001816285,0.001789471
0.021688159,0.04543366,0.001704949,0.001741667
0.022274326,0.046616634,0.001620017,0.001702209
0.022860492,0.047774148,0.001571816,0.001673545
0.023446659,0.048906979,0.001563943,0.001656772
0.024032825,0.050015665,0.001592896,0.001651614
0.024618992,0.051100301,0.001649036,0.001656602
0.025205158,0.052160496,0.001718682,0.00166944
0.025791325,0.053195419,0.001786895,0.001687513
0.026377491,0.054203877,0.001840434,0.001708408
0.026963658,0.055184381,0.001870301,0.001730338
0.027549824,0.056135209,0.001873407,0.001752385
0.028135991,0.057054488,0.001853037,0.001774532
0.028722157,0.057940313,0.001818053,0.001797514
0.029308324,0.058790927,0.001780988,0.001822538
0.02989449,0.05960495,0.001755416,0.001850887
0.030480657,0.060381603,0.001753118,0.001883475
0.031066823,0.061120881,0.001781585,0.001920424
0.031652989,0.061823611,0.001842353,0.001960794
0.032239156,0.062491343,0.00193048,0.002002535
0.032825322,0.063126067,0.002035264,0.002042715
0.033411489,0.063729757,0.002142073,0.002077922
0.033997655,0.064303843,0.002234924,0.00210476
0.034583822,0.064848754,0.002299342,0.002120327
0.035169988,0.065363736,0.002324963,0.002122643
0.035756155,0.065847021,0.00230738,0.002110967
0.036342321,0.066296305,0.002248917,0.002085951
0.036928488,0.066709349,0.002158161,0.002049573
0.037514654,0.067084495,0.002048356,0.002004827
0.038100821,0.067420952,0.00193497,0.001955229
0.038686987,0.067718793,0.001832881,0.001904255
0.039273154,0.067978719,0.001753731,0.001854848
0.03985932,0.068201683,0.001703936,0.001809073
0.040445487,0.068388507,0.001683736,0.001767946
0.041031653,0.068539609,0.00168744,0.001731455
0.041617819,0.068654871,0.001704806,0.00169875
0.042203986,0.068733684,0.001723284,0.001668487
0.042790152,0.068775113,0.001730659,0.001639267
0.043376319,0.068778146,0.001717588,0.001610048
0.043962485,0.068741959,0.001679537,0.001580445
0.044548652,0.068666126,0.001617726,0.001550838
0.045134818,0.068550744,0.001538921,0.001522291
0.045720985,0.068396458,0.001454106,0.00149632
0.046307151,0.068204459,0.001376279,0.001474562
0.046893318,0.067976461,0.001317829,0.001458377
0.047479484,0.067714677,0.001287987,0.001448455
0.048065651,0.067421691,0.001290859,0.001444502
0.048651817,0.067100153,0.001324444,0.001445122
0.049237984,0.066752303,0.001380833,0.001447945
0.04982415,0.066379413,0.001447542,0.001449966
0.050410317,0.065981345,0.001509751,0.001448014
0.050996483,0.065556388,0.001553005,0.001439229
0.051582649,0.065101424,0.001565868,0.001421473
0.052168816,0.064612376,0.001542029,0.001393652
0.052754982,0.0640848,0.001481457,0.001355897
0.053341149,0.063514462,0.001390389,0.001309576
